㑇	wqvg
勘	hnlt
勚	kdml
募	slr
勠	nwel
勤	qflt
勰	llli
勹	qtn
勺	qyi
勾	qci
勿	qre
匀	qud
包	qlv
匆	qryi
匈	qbk
匍	qbi
匏	dgwl
匐	qrld
匕	xtn
化	hthn
北	uxn
匙	jwxv
匚	agn
匜	amv
匝	abk
匠	ark
匡	agd
匣	auk
匦	alvv
匪	amxd
匮	axmi
匹	aqv
区	ari
医	aci
匼	awd
匾	aoma
匿	aatr
十	foa
千	qtgh
卅	gjk
升	taj
午	rhk
卉	faj
半	vui
华	mxv
协	flmy
卑	rvk
卒	yafj
卓	hvj
单	ulfj
卖	viwu
南	heuf
博	fbfy
卜	hhy
卞	yhu
卟	khy
占	vhgg
卡	mhgy
卢	hnr
卣	vnd
卤	vri
卦	ffhy
卧	ayhy
卩	bnh
卫	nxd
卬	qbh
卮	flv
卯	qtbh
印	sbh
危	qdlb
即	vbh
却	lbh
卵	qyty
卷	xlb
卸	rcbh
卺	bigl
卿	qtvb
厂	dgt
厄	dlv
厅	dsk
历	dle
厉	dqe
压	dfyi
厌	ddyi
厍	dlk
厕	dmjk
厖	ddne
厘	duad
厚	djbd
厝	dajd
原	dkii
厢	dtd
厣	ddyu
厥	dubw
厦	ddht
厨	dafy
厩	dvls
厮	dhrk
厶	cny
去	lhgy
厾	nli
县	ecu
叁	cddf
参	cder
叆	cjdc
叇	cvip
又	cny
叉	cui
及	eyi
友	dci
双	oeo
反	rci
发	hdci
叔	mtcy
叕	oou
取	bcy
受	jcu
变	pcu
叙	wicy
叚	rncy
叛	orcy
叟	vhcu
叠	cope
口	kkkk
古	dghg
句	stng
另	vhnt
叨	kvt
叩	nhnh
只	kuu
叫	knhh
召	vkf
叭	kmy
叮	ksh
可	skd
台	ckf
叱	kxn
史	kri
右	trd
叵	akd
叶	kfh
号	kwb
司	nrd
叹	kcy
叻	klt
叼	kngg
叽	knn
吁	kfhh
吃	ksn
各	oa
吆	kxy
合	wtyg
吉	fkf
吊	kbj
同	mao
名	qkd
后	fkd
吏	rri
吐	kfg
向	bkd
吒	kmn
吓	kghy
吕	kkf
吖	kuhh
吗	kcg
君	vtkd
吝	ckf
吞	gdkf
吟	kdn
吠	kdyy
吡	kaxn
吣	kniy
否	gkf
吧	kjn
吨	kban
吩	kmvt
含	dkf
听	krh
吭	kynn
吮	kcqn
启	okd
吱	kfcy
吲	kxhh
吴	kgdu
吵	kitt
吸	keyy
吹	kqwy
吻	kqrt
吼	kbnn
吽	kph
吾	skf
呀	krtt
呃	kdln
呆	ksu
呇	hikf
呈	kgf
告	ekf
呋	kay
呐	kmwy
呒	kfsn
呓	kann
呔	kduy
呕	kary
呖	kdlt
呗	kmy
员	kmu
呙	kmwu
呛	kwln
呜	kqng
呢	knxn
呣	kxsy
呤	kdyy
呦	kxlt
周	mfkd
呱	kocy
呲	kcxn
味	kfiy
呵	kskg
呶	kvcy
呷	kuh
呸	kggg
呻	kjhh
呼	ktuh
命	wnj
咀	keg
咂	kabh
咄	kbmh
咆	kqln
咇	knoy
咉	kmdy
咋	kkfg
和	tkg
咍	kckg
咎	thkf
咏	kyin
咐	kwfy
咒	xnb
咔	kmy
咕	kdg
咖	kvg
咙	kdxn
咚	ktuy
咛	kpsh
咝	kxxg
咡	kbg
咣	kkn
咤	kpmn
咥	kag
咦	kgxw
咧	kbjh
咨	kkf
咩	kph
咪	koy
咫	nmku
咬	kury
咭	kfkg
咯	kog
咱	ktg
咳	kaoy
咴	kdoy
咸	drxy
咺	kgjg
咻	kwsy
咽	kldy
咿	kwvt
哀	yku
品	kxf
哂	ksg
哃	kmg
哄	kry
哆	kqy
哇	kffg
哈	kwg
哉	jkd
哌	krqu
响	kbkg
哎	kary
哏	kvy
哐	kagg
哑	kgog
哒	kdpy
哓	kxpn
哔	kaxf
哕	kmqy
哗	kmxn
哙	kocy
哚	knsy
哜	kcjh
哝	kpky
哞	kcph
哟	kxqy
哢	kgah
哥	aoe
哦	kryy
哧	kfoy
哨	kieg
哩	kuag
哪	kobh
哭	xdyu
哮	kfbg
哱	kfpb
哲	rrkf
哳	krrh
哺	kby
哼	kybh
哽	kgjr
哿	vskf
唁	kyg
唆	kcmt
唇	dekd
唉	kccy
唏	krdb
唐	owkd
唑	kafg
唔	kskg
唛	kgty
唝	kamy
唠	kapl
唢	kimy
唣	kkan
唤	kqmd
唧	kvbh
唪	kdwv
唬	khnn
售	rkf
唯	krg
唰	knbj
唱	kjjg
唳	kody
唵	kdjn
唷	kyce
唼	kuvg
唾	kqag
唿	kqri
啁	kmfk
啃	kceg
啄	keuy
商	erd
啉	kmy
啊	kbsk
啐	kyaf
啕	kqrm
啖	kooy
啜	kooy
啡	kmxg
啤	krvh
啥	kbkg
啦	krug
啧	kgmy
啪	krkg
啫	kfjg
啬	fulk
啭	klvc
啮	kcbh
啰	klqy
啴	kulf
啵	kihc
啶	kpwy
啷	kyvb
啸	kvij
啻	upbk
啼	kupb
啾	ktoy
喀	kpog
喁	kjmc
喂	kley
喃	khef
善	purf
喆	fkfk
喇	kujh
喈	kaxk
喉	kwnc
喊	kdry
喋	kkds
喏	katr
喑	kxg
喔	knag
喘	kmdm
喙	kxeu
喜	fakf
喝	kjqn
喟	kleg
喤	kkgg
喧	kpgg
喱	kdua
喳	ksjg
喵	kalg
喷	kfam
喹	kdff
喻	kwwh
喽	kovg
喾	iekf
嗄	kdht
嗅	ktdy
嗉	kgxi
嗌	kuul
嗍	kube
嗐	kjrg
嗑	kllg
嗒	kawg
嗓	kcos
嗔	kfeu
嗖	kvhc
嗜	kfxj
嗝	krmh
嗞	kuoy
嗟	kpag
嗡	kmcn
嗣	kmar
嗤	kbgj
嗥	kkdf
嗦	kfpi
嗨	kcuy
嗪	kdwt
嗫	kboy
嗬	kawk
嗯	kldi
嗲	kmqy
嗳	kjdc
嗵	kcep
嗷	kgty
嗽	kuqw
嗾	kpcy
嘀	kedg
嘁	kdmy
嘈	kemj
嘉	favf
嘌	kbiy
嘎	kdhx
嘏	drnc
嘘	khog
嘚	khxh
嘛	kvy
嘞	kqlt
嘟	kfjb
嘡	kjfg
嘣	kmee
嘤	kmmv
嘧	kpnm
嘬	kjbc
嘭	kfae
嘱	kntc
嘲	kkeg
嘴	kcxe
嘶	khrh
嘹	kdui
嘻	kfak
嘿	kby
噀	kllr
噂	kusy
噇	kuua
噌	kljg
噍	kroy
噎	kfpa
噔	kwga
噗	koay
噘	kduw
噙	kwyc
噜	kcjg
噢	kbod
噤	kmwm
器	xdyx
噩	gxxd
噪	kkxs
噫	kxni
噬	ktaa
噱	kheu
噶	kajn
噻	kpfg
噼	kdah
嚄	karc
嚅	kfdm
嚆	kahk
嚎	kheu
嚏	kfpw
嚓	kpwm
嚚	xayx
嚣	xdmx
嚭	fakk
嚯	kfrg
嚷	kyxk
嚼	kely
囊	npxk
囔	knpk
囗	lhng
囚	lwi
四	lio
囝	lbd
回	lkd
囟	tkri
因	ldi
囡	lvd
团	lfte
囤	lbav
囫	lqre
园	lfqv
困	lsi
囱	tkti
围	lvnv
囵	lwxv
囷	lti
囹	ldyi
固	ldd
国	lbi
图	ltui
囿	lefd
圃	lbi
圄	lskd
圆	lkmi
圈	lxlv
圉	lfuf
圊	lged
圌	lmdm
圐	llpe
圙	lmdf
圜	llrk
土	ffff
圢	fsh
圣	cff
在	djfd
圩	ffhh
圪	fsn
圫	fmn
圬	fgwn
圭	fff
圮	fln
圯	fln
地	fmn
圲	fqh
圳	fjh
圹	fot
场	fvt
圻	frh
圾	feyy
址	fcg
坂	frcy
均	fqug
坉	fban
坊	fpt
坋	fmvt
坌	mvff
坍	fmyg
坎	fqwy
坏	fgy
坐	afd
坑	fynn
坒	axff
块	fby
坚	tff
坛	fcy
坜	fdlt
坝	fmy
坞	fqng
坟	fcy
坠	bwff
坡	fhcy
坤	fjhh
坥	feg
坦	fjgg
坨	fpxn
坩	fafg
坪	ffut
坫	fvg
坬	focy
坭	fnxn
坯	fggg
坰	fmkg
坳	fxlt
坶	fxsy
坷	fskg
坻	fscy
坼	fryy
坽	fdyy
垂	qagf
垃	fug
垄	dxff
垅	fdxn
垆	fhnt
垈	hyff
型	ejff
垌	fmg
垍	ftg
垎	fog
垏	fwfg
垒	cccf
垓	faoy
垕	fkfd
垙	fkn
垚	ffff
垛	fnsy
垞	fpmn
垟	fph
垠	fvy
垡	wxff
垢	ffkg
垣	fgjg
垤	fag
垦	vff
垧	fbkg
垩	goff
垫	hff
垭	fgog
垮	fdgw
垯	fdpy
垱	fivg
垲	fmln
垴	fybh
垵	fpvg
垸	fpfq
垺	febg
垾	fjfh
垿	focs
埂	fgjr
埃	fccy
埆	fqeh
埇	fceh
埋	fuag
埌	fyvy
城	fpxy
埏	ftcp
埒	fefy
埔	fby
埕	fkgg
埗	fcit
埘	fjfy
埙	fkmy
埚	fkmw
埝	fdni
域	fxkg
埠	ftdf
埤	frvh
埪	fpsg
埫	fjg
埭	fviy
埯	fdjn
埴	ffeg
埵	fqag
埸	fjqr
培	fukg
基	hff
埼	fdsk
埽	fvpb
堀	fnbm
堂	jff
堃	ppff
堆	frg
堇	qfd
堉	fyce
堋	feeg
堌	fldg
堍	flsy
堎	ffmt
堐	fdff
堑	lrff
堕	beff
堙	fsfg
堞	fkds
堠	fwnc
堡	mkff
堤	fjwy
堧	fdmd
堨	fjqn
堪	fhnn
堰	fajv
堲	vbff
堵	ffjg
堼	ffff
堽	flgc
堾	fdwj
塄	flpt
塅	fnxy
塆	fpxn
塌	fjng
塍	exfg
塑	ubef
塔	fawg
塘	fowk
塝	fupp
塞	pff
塥	frmh
填	ffeu
塬	fdki
塱	yvef
塾	ybvf
墀	fnip
墁	fjlc
境	fxqn
墅	uacf
墈	fhnl
墉	fowe
墐	fqfg
墒	ferg
墓	sff
墕	fgcq
墘	fksn
墙	ffuk
墚	fivs
增	fljg
墟	fhog
墡	fpur
墣	foay
墦	fmlg
墨	bff
墩	fybt
墼	lbxf
壁	daff
壅	yxtf
壑	hpgf
壕	fheu
壤	fyxk
士	fghg
壬	qtgg
壮	ufg
声	fnhj
壳	fpnb
壶	fpof
壸	fpgo
壹	fpga
夂	ttny
处	thi
备	ofk
复	tjtu
夏	dhtu
夐	qmwt
夔	qclt
夕	qtny
外	qhy
夙	nbi
多	qoe
夜	ywty
够	sqy
夤	qpgu
夥	jsqy
大	doa
天	gdi
太	dui
夫	aaaa
夬	bngy
夭	myi
央	mdi
夯	dlr
失	rwi
头	iwi
夷	gxwi
夸	dgwb
夹	xwi
夺	dfyu
夼	djj
奁	daru
奂	qmdu
奄	djnb
奇	dskf
奈	dwmu
奉	dwvj
奋	dlf
奎	dfff
奏	dwgd
契	dhvd
奓	dqu
奔	dfaj
奕	pdu
奖	uqdu
套	dvu
奘	ufdu
奚	exdu
奠	usdu
奡	dhdj
奢	dfjf
奥	bodu
奭	ddjj
女	vvvv
奴	vcy
奶	vet
奸	vfh
她	vmn
好	vbg
妁	vqyy
如	vkg
妃	vln
妄	yvf
妆	uvg
妇	vvg
妈	vcg
妊	vqg
妍	veh
妒	vot
妓	vfcy
妖	vmyy
妗	vdn
妘	vcy
妙	vitt
妞	vnfg
妣	vaxn
妤	vcsh
妥	evf
妧	vfqn
妨	vpt
妩	vfsn
妪	vary
妫	vluy
妭	vdcy
妮	vnxn
妯	vng
妲	vjgg
妹	vfiy
妻	gwvf
妾	uvf
姆	vxsy
姈	vdyy
姊	vtnt
始	vckg
姐	veg
姑	vdg
姒	vnwy
姓	vpgg
委	tvf
姗	vygg
姘	vueh
姚	viqn
姜	ugvf
姝	vtsy
姞	vfkg
姣	vury
姤	vfkg
姥	vfxn
姨	vgxw
姬	vayh
姮	vgjg
姱	vdgw
姶	vwg
姹	vpmn
姻	vldy
姽	vqdl
姿	kvf
娀	vxdt
威	dvxy
娃	vffg
娄	ovf
娅	vgog
娆	vxpn
娇	vmjh
娈	pvf
娉	vnwn
娌	vuag
娑	iitv
娓	vncn
娘	vyvy
娜	vobh
娟	vkeg
娠	vdey
娣	vuxt
娥	vryy
娩	vlsn
娱	vkgd
娲	vkmw
娴	vusy
娵	vbcy
娶	bcvf
娼	vjjg
婀	vbsk
婆	ihcv
婉	vpql
婊	vgky
婌	vmtc
婍	vdsk
婕	vgvc
婘	vxln
婚	vsnj
婞	vfuf
婠	vpdg
婢	vrvh
婤	vmfk
婧	vgeg
婪	mvf
婫	vjax
婳	vglb
婴	mmvf
婵	vulf
婶	vpjh
婷	vhsh
婺	ctvf
婻	vhef
婼	vatr
婿	vweg
媂	vupb
媄	vugd
媆	vdmd
媒	vafs
媓	vkgg
媖	vamd
媚	vnhh
媛	vegc
媞	vjwy
媪	vjlg
媭	edmv
媱	verm
媲	vtkx
媳	vtni
媵	exvg
媸	vbgj
媾	vemf
嫁	vpeu
嫂	vvhc
嫄	vdki
嫉	vucy
嫌	vuvo
嫒	vjdc
嫔	vpru
嫕	vaci
嫖	vbiy
嫘	vlxi
嫚	vjlc
嫜	vxfh
嫠	fitv
嫡	vedg
嫣	vgcq
嫦	vjbh
嫩	vuty
嫪	vnwe
嫫	vsy
嫭	vhth
嫱	vfuk
嫽	vdui
嬉	vfak
嬖	davf
嬗	vylg
嬛	vlrk
嬥	vnrg
嬬	vfdm
嬲	llvl
嬴	yevn
嬷	vvog
嬿	vauo
孀	vftg
孅	vaxg
子	boe
孑	bnhg
孓	byi
孔	bnn
孕	ebf
孖	bbg
字	pbf
存	dhbd
孙	biy
孚	ebf
孛	fpbf
孜	bty
孝	fbd
孟	blf
孢	bqln
季	tbf
孤	bocy
孥	vcbf
学	ibf
孩	baoy
孪	pbf
孬	gvbf
孰	ybvy
孱	nbbb
孳	uobf
孵	qytb
孺	bfdm
孽	atdb
宀	pyyn
宁	psj
它	pxb
宄	pvb
宅	pmb
宇	pfhj
守	pfyu
安	pvf
宋	psu
完	pfqb
宏	pdcu
宓	pnou
宕	pdf
宗	pwmu
官	pdf
宙	pnf
定	pwu
宛	pqlb
宜	pef
宝	pbu
实	piwu
宠	pdxb
审	pjhj
客	pof
宣	pgjg
室	paf
宥	peff
宦	payj
宧	payj
宪	peqb
宫	pkkf
宬	ppxy
宰	paj
害	jrf
宴	pjvf
宵	pief
家	peuu
宸	pdeu
容	prf
宽	pams
宾	prgu
宿	pwdj
寁	pgvc
寂	pmtc
寄	pdsk
寅	pgnu
密	pnom
寇	pfqc
富	prlf
寐	pufi
寒	puu
寓	pjmc
寝	puvc
寞	psu
察	pwwm
寡	pdev
寤	pusk
寥	pnwe
寨	piu
寮	pdui
寰	plrk
寸	fyi
对	enyy
寺	ffyu
寻	vfyu
导	lfyu
寿	ofyi
封	fffy
射	yfyy
将	uqfy
尉	nwmy
尊	usfy
小	iiii
少	ite
尔	qiu
尕	eiu
尖	idu
尘	iff
尚	jao
尜	idiu
尝	icu
尢	dnv
尤	dnv
尥	dnqy
尧	xpb
尨	dnee
尪	dngd
尬	dnwj
就	yidn
尴	dnjl
尸	nngt
尹	vte
尺	nmi
尻	nvv
尼	nxv
尽	nmuu
尾	ncnv
尿	nhii
局	nsd
屁	naxv
层	nci
屃	nmi
居	ndd
屈	nbmk
屉	nkdd
届	nnd
屋	nad
屌	nkbk
屎	noi
屏	nuek
屐	nhfc
屑	nied
展	naei
屙	nbsk
属	ntkc
屠	nfjd
屡	novd
屣	nhcc
履	nhtt
屦	nhov
屮	bnhh
屯	bav
山	mmmm
屹	msn
屺	mln
屼	mpn
屾	mmh
屿	mqg
岁	mqu
岂	mlb
岈	mrtt
岊	jmj
岌	meyu
岍	meh
岐	mfcy
岑	mdb
岔	mvmj
岖	mary
岗	mmru
岘	mmsn
岙	mymj
岚	mnru
岛	qmk
岜	mjb
岞	mkfg
岠	mang
岢	mskf
岣	msg
岨	meg
岩	mdf
岫	mng
岬	muh
岭	mdyy
岱	hymj
岳	rgmj
岵	mdg
岷	mnen
岸	mdfj
岽	maiu
岿	mjvf
峁	mqtb
峂	mtuy
峃	imj
峄	mcvh
峋	mqjg
峒	mmg
峗	mqdl
峘	mgjg
峙	mffy
峛	mbjj
峡	mxwy
峣	mxpn
峤	mmjh
峥	mqsh
峦	pmj
峧	mury
峨	mryy
峪	mmrg
峭	mieg
峰	mtdh
峱	vnfm
峻	mcmt
峿	mskg
崀	myvu
崁	mfqw
崂	mapl
崃	mxiy
崄	mwqg
崆	mpsg
崇	mpwm
崌	mndg
崎	mdsk
崒	myaf
崔	mrf
崖	mdff
崚	mfmt
崛	mnbm
崞	mybg
崟	mbuf
崡	mbib
崤	mref
崦	mdjn
崧	msmc
崩	meef
崭	mlrj
崮	mldf
崴	mdvy
崶	mffy
崽	mlni
崾	msvg
崿	mxgw
嵁	mhnn
嵅	mdry
嵇	tdnm
嵊	mtux
嵋	mnhh
嵌	mafw
嵎	mjmc
嵖	msjg
嵘	maps
嵚	mqqw
嵛	mwwj
嵝	movg
嵩	mhkf
嵫	muoy
嵬	mqcu
嵯	mpag
嵲	mtsy
嵴	miwe
嶂	mxfh
嶅	gtmj
嶍	mnkg
嶒	mljg
嶓	mmlg
嶙	mobh
嶝	mwga
嶟	musy
嶦	mqdy
嶲	mrmm
嶷	mxcw
巅	mfem
巇	mhgx
巉	mlay
巍	mtvc
巛	vnnn
川	jthh
州	jii
巡	vpi
巢	vjsu
工	aghg
左	dad
巧	awn
巨	and
巩	any
巫	aai
差	pad
巯	cayh
己	llll
已	lyi
巳	lngn
巴	jnhn
巷	rlb
巽	llru
巾	bhnh
币	tbk
市	vmv
布	dbk
帅	jbh
帆	bny
师	jkmn
希	rdbj
帏	bvnn
帐	bhsy
帑	vcbj
帔	bhcy
帕	bkg
帖	bvg
帘	pbj
帙	brwy
帚	vpbj
帛	kbj
帜	bkuy
帝	upbj
帡	bueh
带	mpbj
帧	bhmy
帨	bdqn
席	lbk
帮	obbj
帱	bofy
帷	brg
常	jbj
帻	bgmy
帼	blby
帽	bjhg
幂	pjdb
幄	bnag
幅	brlg
幌	bjkn
幔	bjlc
幕	sbj
幖	bbiy
幛	bxfh
幞	boay
幡	bmlg
幢	buua
幪	bapu
干	fggh
平	fue
年	akk
并	uej
幸	fufj
幺	xnny
幻	xnn
幼	xlt
幽	xmxi
广	otyg
庀	oxv
庄	ofd
庆	odi
庇	oaxv
床	osi
庋	ofci
序	ocsk
庐	ooe
庑	ofsv
库	olk
应	oqd
底	osci
庖	oqlv
店	okd
庙	ond
庚	ovwi
府	owfy
庞	odxv
废	ohdc
庠	opk
